ticker,index,total_reward,buy_pct,top_day,top_shap
RELIANCE.BO,SENSEX,0.20574719,100.0,day_t-7,0.000277
TCS.BO,SENSEX,-0.01120466,100.0,day_t-17,0.000103
AAPL,DJIA,-0.13548732,100.0,day_t-6,0.000299
MSFT,DJIA,-0.13273191,100.0,day_t-15,0.000198
